fips,state,npi,start_date,end_date
1,Alabama,closing_of_public_venues,3/28/20,5/11/20
1,Alabama,gathering_size_10_0,3/28/20,5/11/20
1,Alabama,gathering_size_100_26,3/16/20,
1,Alabama,gathering_size_25_11,3/19/20,
1,Alabama,gathering_size_500_101,3/13/20,
1,Alabama,lockdown,,
1,Alabama,non-essential_services_closure,3/28/20,4/30/20
1,Alabama,religious_gatherings_banned,4/4/20,5/11/20
1,Alabama,school closure,3/20/20,6/1/20
1,Alabama,shelter_in_place,4/4/20,4/30/20
1,Alabama,social_distancing,4/3/20,
2,Alaska,closing_of_public_venues,3/18/20,4/24/20
2,Alaska,gathering_size_10_0,3/24/20,4/24/20
2,Alaska,gathering_size_100_26,,5/8/20
2,Alaska,gathering_size_25_11,,4/24/20
2,Alaska,gathering_size_500_101,,
2,Alaska,lockdown,,
2,Alaska,non-essential_services_closure,3/28/20,
2,Alaska,religious_gatherings_banned,3/24/20,4/24/20
2,Alaska,school closure,3/16/20,
2,Alaska,shelter_in_place,3/28/20,4/24/20
2,Alaska,social_distancing,3/28/20,
4,Arizona,closing_of_public_venues,3/31/20,5/15/20
4,Arizona,gathering_size_10_0,3/17/20,
4,Arizona,gathering_size_100_26,,
4,Arizona,gathering_size_25_11,,
4,Arizona,gathering_size_500_101,,
4,Arizona,lockdown,,
4,Arizona,non-essential_services_closure,3/31/20,5/15/20
4,Arizona,religious_gatherings_banned,,
4,Arizona,school closure,3/15/20,
4,Arizona,shelter_in_place,3/31/20,
4,Arizona,social_distancing,3/31/20,
5,Arkansas,closing_of_public_venues,3/20/20,5/11/20
5,Arkansas,gathering_size_10_0,3/27/20,
5,Arkansas,gathering_size_100_26,,
5,Arkansas,gathering_size_25_11,,
5,Arkansas,gathering_size_500_101,,
5,Arkansas,lockdown,,
5,Arkansas,non-essential_services_closure,4/6/20,5/6/20
5,Arkansas,religious_gatherings_banned,,
5,Arkansas,school closure,3/19/20,
5,Arkansas,shelter_in_place,,
5,Arkansas,social_distancing,3/27/20,
6,California,closing_of_public_venues,3/19/20,5/12/20
6,California,gathering_size_10_0,3/16/20,
6,California,gathering_size_100_26,,
6,California,gathering_size_25_11,,
6,California,gathering_size_500_101,3/11/20,
6,California,lockdown,,
6,California,non-essential_services_closure,3/19/20,5/25/20
6,California,religious_gatherings_banned,3/19/20,5/25/20
6,California,school closure,3/19/20,
6,California,shelter_in_place,3/19/20,
6,California,social_distancing,3/19/20,
8,Colorado,closing_of_public_venues,3/19/20,5/1/20
8,Colorado,gathering_size_10_0,3/19/20,6/2/20
8,Colorado,gathering_size_100_26,,
8,Colorado,gathering_size_25_11,,
8,Colorado,gathering_size_500_101,,
8,Colorado,lockdown,,
8,Colorado,non-essential_services_closure,3/19/20,5/1/20
8,Colorado,religious_gatherings_banned,,6/4/20
8,Colorado,school closure,3/23/20,6/1/20
8,Colorado,shelter_in_place,4/2/20,4/27/20
8,Colorado,social_distancing,3/19/20,
9,Connecticut,closing_of_public_venues,3/16/20,5/20/20
9,Connecticut,gathering_size_10_0,3/26/20,
9,Connecticut,gathering_size_100_26,3/16/20,
9,Connecticut,gathering_size_25_11,,
9,Connecticut,gathering_size_500_101,3/12/20,
9,Connecticut,lockdown,,
9,Connecticut,non-essential_services_closure,3/23/20,5/20/20
9,Connecticut,religious_gatherings_banned,3/16/20,6/1/20
9,Connecticut,school closure,3/15/20,
9,Connecticut,shelter_in_place,3/20/20,5/20/20
9,Connecticut,social_distancing,3/16/20,
10,Delaware,closing_of_public_venues,3/16/20,6/1/20
10,Delaware,gathering_size_10_0,3/22/20,6/15/20
10,Delaware,gathering_size_100_26,3/18/20,
10,Delaware,gathering_size_25_11,,
10,Delaware,gathering_size_500_101,,
10,Delaware,lockdown,,
10,Delaware,non-essential_services_closure,3/24/20,6/1/20
10,Delaware,religious_gatherings_banned,,
10,Delaware,school closure,3/23/20,
10,Delaware,shelter_in_place,3/24/20,6/1/20
10,Delaware,social_distancing,,
12,Florida,closing_of_public_venues,3/20/20,
12,Florida,gathering_size_10_0,4/3/20,
12,Florida,gathering_size_100_26,,
12,Florida,gathering_size_25_11,,
12,Florida,gathering_size_500_101,,
12,Florida,lockdown,,
12,Florida,non-essential_services_closure,4/3/20,
12,Florida,religious_gatherings_banned,,
12,Florida,school closure,3/17/20,
12,Florida,shelter_in_place,4/3/20,5/4/20
12,Florida,social_distancing,3/20/20,
13,Georgia,closing_of_public_venues,3/24/20,
13,Georgia,gathering_size_10_0,3/24/20,
13,Georgia,gathering_size_100_26,,
13,Georgia,gathering_size_25_11,,
13,Georgia,gathering_size_500_101,,
13,Georgia,lockdown,,
13,Georgia,non-essential_services_closure,4/3/20,
13,Georgia,religious_gatherings_banned,,
13,Georgia,school closure,3/18/20,
13,Georgia,shelter_in_place,4/3/20,4/30/20
13,Georgia,social_distancing,3/24/20,
66,Guam,closing_of_public_venues,3/20/20,
66,Guam,gathering_size_10_0,,
66,Guam,gathering_size_100_26,3/17/20,
66,Guam,gathering_size_25_11,,
66,Guam,gathering_size_500_101,,
66,Guam,lockdown,,
66,Guam,non-essential_services_closure,3/20/20,
66,Guam,religious_gatherings_banned,,
66,Guam,school closure,3/17/20,
66,Guam,shelter_in_place,,
